experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,model,prediction_variant,metric,value,metric_status,n_endpoints,stored_metric_match
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,raw,rmse,18.48038572847197,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,raw,mae,14.534084883070147,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,raw,signed_error,1.9195463221298428,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,raw,nasa_score,582.212670070333,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,clipped,rmse,17.35317009247391,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,clipped,mae,13.460964052832376,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,clipped,signed_error,2.992667152367612,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,ridge,clipped,nasa_score,539.7013601577119,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,raw,rmse,17.202447026929242,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,raw,mae,13.544686450830925,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,raw,signed_error,3.6157650849530993,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,raw,nasa_score,540.0344490575861,reconstructed,100,PENDING
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,clipped,rmse,16.050156665242344,reconstructed,100,True
